target	mode	source	reason	name
01020-1.avif	official	https://assets.arkham.build/optimized/01020-1.avif	no-local-mutation	Machete
01020-2.avif	official	https://assets.arkham.build/optimized/01020-2.avif	no-local-mutation	Machete
01020-3.avif	official	https://assets.arkham.build/optimized/01020-3.avif	no-local-mutation	Machete
01020-4.avif	official	https://assets.arkham.build/optimized/01020-4.avif	no-local-mutation	Machete
01033-1.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01033-10.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01033-2.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01033-3.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01033-4.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01033-5.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01033-6.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01033-7.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01033-8.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01033-9.avif	local-alias	01033-t.avif	unambiguous-local-mutation	Dr. Milan Christopher
01050-1.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01050-10.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01050-2.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01050-3.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01050-4.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01050-5.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01050-6.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01050-7.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01050-8.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01050-9.avif	local-alias	01050-t.avif	unambiguous-local-mutation	Elusive
01073-10.avif	local-alias	01073-t.avif	unambiguous-local-mutation	Scavenging
01073-7.avif	local-alias	01073-t.avif	unambiguous-local-mutation	Scavenging
01073-8.avif	local-alias	01073-t.avif	unambiguous-local-mutation	Scavenging
01073-9.avif	local-alias	01073-t.avif	unambiguous-local-mutation	Scavenging
01520-1.avif	official	https://assets.arkham.build/optimized/01520-1.avif	no-local-mutation	Machete
01520-2.avif	official	https://assets.arkham.build/optimized/01520-2.avif	no-local-mutation	Machete
01520-3.avif	official	https://assets.arkham.build/optimized/01520-3.avif	no-local-mutation	Machete
01520-4.avif	official	https://assets.arkham.build/optimized/01520-4.avif	no-local-mutation	Machete
01533-1.avif	official	https://assets.arkham.build/optimized/01533-1.avif	no-local-mutation	Dr. Milan Christopher
01533-10.avif	official	https://assets.arkham.build/optimized/01533-10.avif	no-local-mutation	Dr. Milan Christopher
01533-2.avif	official	https://assets.arkham.build/optimized/01533-2.avif	no-local-mutation	Dr. Milan Christopher
01533-3.avif	official	https://assets.arkham.build/optimized/01533-3.avif	no-local-mutation	Dr. Milan Christopher
01533-4.avif	official	https://assets.arkham.build/optimized/01533-4.avif	no-local-mutation	Dr. Milan Christopher
01533-5.avif	official	https://assets.arkham.build/optimized/01533-5.avif	no-local-mutation	Dr. Milan Christopher
01533-6.avif	official	https://assets.arkham.build/optimized/01533-6.avif	no-local-mutation	Dr. Milan Christopher
01533-7.avif	official	https://assets.arkham.build/optimized/01533-7.avif	no-local-mutation	Dr. Milan Christopher
01533-8.avif	official	https://assets.arkham.build/optimized/01533-8.avif	no-local-mutation	Dr. Milan Christopher
01533-9.avif	official	https://assets.arkham.build/optimized/01533-9.avif	no-local-mutation	Dr. Milan Christopher
01550-1.avif	official	https://assets.arkham.build/optimized/01550-1.avif	no-local-mutation	Elusive
01550-10.avif	official	https://assets.arkham.build/optimized/01550-10.avif	no-local-mutation	Elusive
01550-2.avif	official	https://assets.arkham.build/optimized/01550-2.avif	no-local-mutation	Elusive
01550-3.avif	official	https://assets.arkham.build/optimized/01550-3.avif	no-local-mutation	Elusive
01550-4.avif	official	https://assets.arkham.build/optimized/01550-4.avif	no-local-mutation	Elusive
01550-5.avif	official	https://assets.arkham.build/optimized/01550-5.avif	no-local-mutation	Elusive
01550-6.avif	official	https://assets.arkham.build/optimized/01550-6.avif	no-local-mutation	Elusive
01550-7.avif	official	https://assets.arkham.build/optimized/01550-7.avif	no-local-mutation	Elusive
01550-8.avif	official	https://assets.arkham.build/optimized/01550-8.avif	no-local-mutation	Elusive
01550-9.avif	official	https://assets.arkham.build/optimized/01550-9.avif	no-local-mutation	Elusive
01573-10.avif	official	https://assets.arkham.build/optimized/01573-10.avif	no-local-mutation	Scavenging
01573-7.avif	official	https://assets.arkham.build/optimized/01573-7.avif	no-local-mutation	Scavenging
01573-8.avif	official	https://assets.arkham.build/optimized/01573-8.avif	no-local-mutation	Scavenging
01573-9.avif	official	https://assets.arkham.build/optimized/01573-9.avif	no-local-mutation	Scavenging
01692-10.avif	official	https://assets.arkham.build/optimized/01692-10.avif	no-local-mutation	Eucatastrophe
01692-4.avif	official	https://assets.arkham.build/optimized/01692-4.avif	no-local-mutation	Eucatastrophe
01692-5.avif	official	https://assets.arkham.build/optimized/01692-5.avif	no-local-mutation	Eucatastrophe
01692-6.avif	official	https://assets.arkham.build/optimized/01692-6.avif	no-local-mutation	Eucatastrophe
01692-7.avif	official	https://assets.arkham.build/optimized/01692-7.avif	no-local-mutation	Eucatastrophe
01692-8.avif	official	https://assets.arkham.build/optimized/01692-8.avif	no-local-mutation	Eucatastrophe
01692-9.avif	official	https://assets.arkham.build/optimized/01692-9.avif	no-local-mutation	Eucatastrophe
02002-1.avif	local-alias	02002-t.avif	unambiguous-local-mutation	Rex Murphy
02002-10.avif	local-alias	02002-t.avif	unambiguous-local-mutation	Rex Murphy
02002-2.avif	local-alias	02002-t.avif	unambiguous-local-mutation	Rex Murphy
02002-3.avif	local-alias	02002-t.avif	unambiguous-local-mutation	Rex Murphy
02002-4.avif	local-alias	02002-t.avif	unambiguous-local-mutation	Rex Murphy
